,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
Mediolanum BB Invesco Bal Risk CpnSel LA,IE00B91SH939,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,6/13/2013,3,4,2," 523,935,765.00 € ",-4.85,-2.42,-0.60,8.68,-2.42,n.d.,3.00,7.31,5.10,7.39,1.33,8.19,1.94,7.93,,,4.40,3.59,-1.73,7.36,2.50,4.13,4.53,3.51,-8.73,7.21,13.18,6.83,-2.89,13.04,10.84,3.21,-17.52,10.60,12.19,9.30,8.67,4.87,2.15,6.88
Mediolanum BB Invesco Bal Risk CpnSel LB,IE00B8QW4Z80,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,Trimestral,NO,NO,Sí,Sí,6/13/2013,3,4,2," 523,935,765.00 € ",-5.40,-2.97,-0.73,9.34,-2.97,n.d.,2.86,7.68,5.07,7.53,1.32,8.24,1.94,7.96,,,4.39,3.60,-1.74,7.35,2.48,4.14,4.52,3.50,-8.74,7.20,13.28,6.87,-2.90,13.03,10.62,3.31,-17.32,10.53,12.17,9.30,8.32,5.35,2.99,6.54
Mediolanum BB Invesco Bal Risk CpnSel SA,IE00B9M3LG26,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,6/13/2013,3,4,2," 523,935,765.00 € ",-4.86,-2.38,-0.74,8.70,-2.38,n.d.,2.70,7.32,4.81,7.44,1.04,8.21,1.65,7.94,,,4.08,3.59,-2.03,7.36,2.18,4.13,4.21,3.50,-9.01,7.20,12.91,6.82,-3.20,13.03,10.49,3.30,-17.66,10.56,11.84,9.30,8.20,5.27,1.93,6.76
Mediolanum BB Invesco Bal Risk CpnSel SB,IE00B96F2G14,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,Trimestral,NO,NO,Sí,Sí,6/13/2013,3,4,2," 523,935,765.00 € ",-5.04,-2.66,-0.74,8.90,-2.66,n.d.,2.71,7.43,4.80,7.52,1.05,8.26,1.67,7.97,,,4.08,3.60,-2.03,7.36,2.18,4.13,4.22,3.51,-9.02,7.21,13.02,6.83,-3.20,13.02,10.63,3.28,-17.72,10.59,11.85,9.30,8.41,5.20,2.03,6.96
Mediolanum BB MS Glbl Sel L A,IE00B2NLMT64,EAA Fund EUR Aggressive Allocation - Global,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/3/2008,3,4,," 3,673,469,780.00 € ",-6.26,-5.15,-5.27,10.57,-5.15,n.d.,-1.86,11.43,5.80,10.65,-0.31,11.06,5.25,10.91,18.42,6.87,10.44,7.77,7.98,15.84,2.23,9.49,11.22,5.86,-6.24,12.30,23.29,9.56,19.36,15.78,5.49,5.57,-21.19,13.73,9.83,10.78,17.98,6.82,-1.59,12.26
Mediolanum BB MS Glbl Sel LH A,IE00B2NLMV86,EAA Fund EUR Aggressive Allocation - Global,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/3/2008,4,4,," 3,673,469,780.00 € ",-8.03,-6.81,-6.94,12.07,-6.81,n.d.,1.15,10.89,6.58,10.51,-0.96,11.49,4.40,11.47,20.54,7.54,6.45,8.18,4.53,13.14,0.13,10.20,16.74,4.21,-10.13,12.25,19.38,9.96,23.81,17.71,0.89,6.90,-24.02,14.40,11.35,13.51,12.99,6.24,6.15,8.71
Mediolanum BB MS Glbl Sel S A,IE00B2NLMW93,EAA Fund EUR Aggressive Allocation - Global,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/3/2008,3,4,," 3,673,469,780.00 € ",-5.90,-4.89,-5.43,9.97,-4.89,n.d.,-2.23,11.18,5.76,10.55,-0.48,11.01,4.98,10.88,17.92,6.86,9.99,7.77,7.56,15.83,1.81,9.49,10.76,5.87,-6.62,12.30,22.97,9.55,19.08,15.77,5.16,5.54,-21.51,13.73,9.38,10.79,17.89,7.42,-1.59,11.84
Mediolanum BB MS Glbl Sel SH A,IE00B2NLMX01,EAA Fund EUR Aggressive Allocation - Global,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/3/2008,4,4,," 3,673,469,780.00 € ",-7.38,-6.27,-7.30,11.00,-6.27,n.d.,0.94,10.45,6.33,10.49,-1.25,11.50,4.06,11.47,19.96,7.53,6.00,8.19,4.12,13.14,-0.31,10.18,16.28,4.21,-10.47,12.27,19.03,9.96,23.46,17.69,0.60,6.91,-24.38,14.42,10.88,13.51,12.86,6.65,5.26,9.05
Mediolanum BB Multi Asset ESG Sel L EUR,IE000B88M711,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,No,No,Sí,Sí,7/8/2022,3,4,," 80,522,551.00 € ",-5.11,-1.75,0.07,9.23,-1.75,n.d.,6.36,8.13,4.76,7.03,,,,,,,,,,,,,,,,,,,,,,,,,5.52,7.48,7.89,4.93,6.04,7.07
Mediolanum BB Multi Asset ESG Sel LH EUR,IE000Q0R8W34,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum,Artículo 8,n.a.,No,No,Sí,Sí,7/8/2022,3,4,," 80,522,551.00 € ",-5.75,-2.54,-0.82,9.92,-2.54,n.d.,7.14,8.08,5.09,6.79,,,,,,,,,,,,,,,,,,,,,,,,,5.90,8.18,6.55,4.53,9.54,5.38
Mediolanum BB New Opps Cllctn LA EUR,IE00B6SBTN25,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/1/2012,3,4,2," 393,228,983.00 € ",-3.85,-2.42,-2.11,6.72,-2.42,n.d.,0.50,5.96,3.71,6.33,0.80,7.74,2.42,7.87,-0.27,7.11,11.90,4.38,5.37,12.83,0.74,6.81,1.29,3.85,-7.43,7.79,14.41,6.36,5.58,13.63,9.39,3.11,-14.72,12.00,7.47,7.68,7.89,4.88,0.88,5.69
Mediolanum BB New Opps Cllctn LHA EUR,IE00B6SF8487,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/1/2012,3,4,2," 393,228,983.00 € ",-4.71,-3.26,-3.07,7.51,-3.26,n.d.,2.00,6.12,3.80,6.78,0.07,8.37,1.86,8.31,1.11,7.20,5.61,5.64,0.68,9.25,-0.45,6.58,7.27,1.75,-10.12,8.26,12.30,6.58,7.24,14.49,6.65,3.37,-17.10,12.76,8.25,9.33,5.38,4.94,4.14,4.73
Mediolanum BB New Opps Cllctn SA EUR,IE00B6SCG018,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/1/2012,3,4,2," 393,228,983.00 € ",-4.69,-3.16,-2.29,7.89,-3.16,n.d.,0.11,6.58,3.30,6.62,0.44,7.91,2.04,7.96,-0.69,7.11,11.46,4.36,4.94,12.81,0.33,6.82,0.88,3.85,-7.80,7.80,14.04,6.36,5.24,13.65,9.18,3.34,-15.08,12.01,7.05,7.69,7.94,4.68,0.71,6.14
Mediolanum BB New Opps Cllctn SHA EUR,IE00B62NM683,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/1/2012,3,4,2," 393,228,983.00 € ",-5.57,-3.99,-3.27,8.79,-3.99,n.d.,1.59,6.85,3.38,6.99,-0.33,8.45,1.47,8.35,0.63,7.24,5.23,5.67,0.12,9.27,-0.86,6.57,6.84,1.73,-10.50,8.27,11.93,6.57,6.90,14.50,6.02,3.36,-17.27,12.71,7.81,9.33,4.95,4.95,4.42,4.63
Mediolanum BB Pacific Collection L A,IE0005372309,EAA Fund Asia-Pacific Equity,Renta Variable Pacífico,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,4/16/1999,3,4,," 234,626,514.00 € ",-10.99,1.13,3.90,24.26,1.13,n.d.,14.75,17.89,8.35,12.44,1.69,12.98,5.47,12.51,6.58,10.10,9.70,7.30,7.58,18.43,3.23,11.19,11.50,6.84,-11.42,12.84,22.27,9.46,9.79,19.65,5.97,6.04,-16.50,16.70,1.95,11.85,13.59,8.21,11.49,10.61
Mediolanum BB Pacific Collection L H,IE00B04KP551,EAA Fund Other Equity,Renta Variable Pacífico,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,4,4,," 234,626,514.00 € ",-11.69,-0.04,4.61,24.67,-0.04,n.d.,21.39,17.85,12.13,12.27,3.83,12.79,6.14,12.77,19.27,11.07,7.72,7.93,2.20,15.80,-1.71,14.24,17.02,4.44,-15.09,13.85,18.77,10.46,12.34,20.34,3.30,6.11,-16.24,15.78,7.33,11.89,14.09,7.82,20.26,9.50
Mediolanum BB Pacific Collection S A,IE0009624127,EAA Fund Asia-Pacific Equity,Renta Variable Pacífico,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,2/1/2001,4,4,," 234,626,514.00 € ",-11.02,1.04,3.50,23.96,1.04,n.d.,14.60,17.75,7.93,12.47,1.27,12.99,5.01,12.52,6.04,10.10,9.17,7.31,7.03,18.41,2.72,11.17,10.94,6.83,-11.87,12.84,21.75,9.48,9.36,19.68,5.57,6.03,-16.95,16.70,1.44,11.85,13.68,8.16,10.64,10.72
Mediolanum BB Pacific Collection S H,IE00B02YQD46,EAA Fund Other Equity,Renta Variable Pacífico,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,4,4,," 234,626,514.00 € ",-11.73,0.02,4.55,24.77,0.02,n.d.,21.01,17.91,11.97,12.22,3.53,12.78,5.73,12.77,18.49,11.04,7.16,7.90,1.50,15.79,-2.24,14.25,16.44,4.44,-15.52,13.84,18.36,10.42,11.80,20.35,2.94,6.15,-16.79,15.78,6.79,11.89,14.57,7.38,19.65,9.53
Mediolanum BB Premium Coupon Cllctn LA,IE00B3BF0L54,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/19/2008,2,4,," 524,871,422.00 € ",-2.55,-1.27,-1.07,4.36,-1.27,n.d.,1.82,3.48,3.21,3.79,-0.54,5.74,0.40,5.36,1.54,4.13,9.01,2.09,0.74,9.00,3.38,3.65,-1.02,2.72,-4.74,3.27,7.40,2.95,0.65,9.61,2.51,2.10,-14.74,9.76,5.80,5.00,4.82,2.93,1.98,2.99
Mediolanum BB Premium Coupon Cllctn LB,IE00B7WJLM29,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,1/31/2013,2,4,," 524,871,422.00 € ",-2.74,-1.30,-1.09,4.69,-1.30,n.d.,1.79,3.66,3.20,3.84,-0.54,5.74,0.39,5.36,,,8.99,2.10,0.73,9.00,3.38,3.66,-1.04,2.72,-4.73,3.28,7.40,2.93,0.66,9.62,2.46,1.88,-14.72,9.76,5.78,4.99,4.84,2.94,1.99,2.98
Mediolanum BB Premium Coupon Cllctn SA,IE00B3BF0N78,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/18/2008,2,4,," 524,871,422.00 € ",-2.74,-1.35,-1.23,4.65,-1.35,n.d.,1.50,3.65,2.90,3.84,-0.83,5.78,0.11,5.38,1.24,4.14,8.67,2.10,0.44,9.00,3.06,3.66,-1.33,2.72,-5.03,3.28,7.16,2.94,0.40,9.61,2.51,2.13,-15.25,9.78,5.48,4.99,4.51,2.95,1.68,2.99
Mediolanum BB Premium Coupon Cllctn SB,IE00B8P30099,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,2/4/2013,2,4,," 524,871,422.00 € ",-2.74,-1.35,-1.23,4.65,-1.35,n.d.,1.51,3.64,2.90,3.84,-0.83,5.74,0.11,5.36,,,8.68,2.09,0.43,9.00,3.05,3.65,-1.33,2.72,-5.03,3.29,7.18,2.94,0.42,9.61,2.01,2.11,-14.85,9.74,5.49,5.00,4.51,2.93,1.68,2.99
Mediolanum BB Premium Coupon CllctnLHB,IE00B7VTCC05,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,1/29/2013,2,4,," 524,871,422.00 € ",-3.27,-1.80,-1.58,5.32,-1.80,n.d.,2.42,4.07,3.27,4.16,-0.98,6.12,0.14,5.54,,,5.77,2.79,-1.48,7.38,3.08,3.72,1.28,1.67,-5.56,3.34,6.74,2.88,1.40,9.75,1.17,2.05,-16.29,10.12,6.23,5.80,3.66,3.15,3.69,2.42
Mediolanum BB Premium Coupon CllctnSHB,IE00B8KGN042,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,1/31/2013,2,4,," 524,871,422.00 € ",-3.29,-1.86,-1.71,5.33,-1.86,n.d.,2.11,4.07,2.97,4.16,-1.30,6.13,-0.14,5.55,,,5.44,2.79,-1.78,7.39,2.76,3.71,0.96,1.67,-5.83,3.35,6.55,2.88,1.14,9.75,0.76,2.32,-16.46,10.11,5.93,5.81,3.35,3.15,3.36,2.41
Mediolanum BB Premium Cpn Cllctn LHA EUR,IE00B3BF0M61,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/19/2008,2,4,," 524,871,422.00 € ",-2.77,-1.47,-1.56,4.54,-1.47,n.d.,2.42,3.61,3.28,4.02,-1.00,6.09,0.15,5.52,1.92,4.19,5.84,2.75,-1.47,7.38,3.09,3.73,1.27,1.70,-5.52,3.35,6.70,2.87,1.37,9.75,1.18,2.35,-16.26,10.13,6.25,5.80,3.68,3.16,3.34,2.46
Mediolanum BB Premium Cpn Cllctn SHA EUR,IE00B3BF0P92,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,9/18/2008,2,4,," 524,871,422.00 € ",-3.29,-1.86,-1.72,5.32,-1.86,n.d.,2.11,4.07,2.97,4.16,-1.30,6.12,-0.15,5.54,1.68,4.18,5.42,2.78,-1.83,7.38,2.76,3.72,0.97,1.67,-5.82,3.36,6.49,2.88,1.13,9.74,0.67,2.22,-16.40,10.10,5.91,5.80,3.36,3.15,3.36,2.40
Mediolanum BB Socially Respon Collct LA,IE00BCZNHK63,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Dinámicos ,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 331,740,408.00 € ",-4.50,-3.06,-0.94,8.57,-3.06,n.d.,5.76,9.13,7.57,8.59,3.37,10.10,5.06,10.04,,,,,,,6.04,11.62,2.02,5.72,-7.51,10.18,19.20,7.16,5.68,16.55,13.35,5.52,-16.39,15.02,13.06,7.46,15.48,6.71,2.57,10.47
Mediolanum BB Socially Respon Collct LHA,IE00BCZNHL70,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Dinámicos ,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 331,740,408.00 € ",-6.52,-5.03,-2.71,10.56,-5.03,n.d.,7.77,9.28,7.70,8.61,2.66,10.38,4.45,10.13,,,,,,,4.37,11.66,8.43,3.36,-10.29,10.28,16.54,7.48,7.73,16.98,10.18,5.30,-18.86,15.43,14.62,9.95,10.75,5.98,9.04,7.78
Mediolanum BB Socially Respon Collct SA,IE00BCZNHM87,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Dinámicos ,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 331,740,408.00 € ",-4.67,-3.27,-1.07,8.75,-3.27,n.d.,5.46,9.21,7.32,8.53,3.22,10.13,4.82,10.07,,,,,,,5.70,11.62,1.73,5.71,-7.81,10.18,19.16,7.15,4.43,16.52,14.28,6.30,-16.64,15.01,12.77,7.48,15.31,6.30,2.43,10.46
Mediolanum BB Socially Respon Collct SHA,IE00BCZNHN94,EAA Fund EUR Aggressive Allocation - Global,Multi Activos Dinámicos ,Mediolanum International Funds Limited,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/6/2015,3,4,2," 331,740,408.00 € ",-6.60,-5.15,-2.89,10.64,-5.15,n.d.,7.47,9.33,7.77,8.69,2.60,10.44,4.28,10.16,,,,,,,3.92,11.67,8.07,3.34,-10.55,10.29,16.34,7.49,7.52,16.99,9.95,5.33,-19.08,15.44,14.31,9.97,11.57,6.20,8.81,7.78
Mediolanum BB US Collection L A,IE0005372184,EAA Fund US Large-Cap Blend Equity,Renta Variable Norte América,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,4/16/1999,4,4,," 776,570,301.00 € ",-4.25,-5.04,-3.96,8.15,-5.04,n.d.,3.81,12.17,11.25,12.43,7.55,13.79,9.32,14.06,22.10,8.74,20.88,7.06,7.90,18.45,5.61,13.67,4.79,7.64,-5.83,16.29,27.81,11.46,8.08,22.42,30.56,9.61,-16.62,19.04,18.09,9.15,28.62,11.26,-0.17,15.18
Mediolanum BB US Collection L H,IE00B04KP338,EAA Fund Other Equity,Renta Variable Norte América,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,4,4,," 776,570,301.00 € ",-6.99,-7.79,-7.02,10.40,-7.79,n.d.,6.55,11.35,10.62,12.12,4.52,14.63,6.93,14.71,25.64,8.38,10.32,7.56,0.82,15.01,2.19,12.99,15.54,4.34,-12.53,16.55,21.96,12.39,14.10,24.87,20.30,10.34,-24.24,20.65,19.60,14.09,18.28,10.60,9.70,10.70
Mediolanum BB US Collection S A,IE0009623822,EAA Fund US Large-Cap Blend Equity,Renta Variable Norte América,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,2/1/2001,4,4,," 776,570,301.00 € ",-4.29,-5.40,-4.20,8.12,-5.40,n.d.,3.30,12.16,10.77,12.41,7.11,13.77,8.85,14.05,21.50,8.73,20.25,7.06,7.36,18.46,5.10,13.67,4.26,7.65,-6.30,16.27,27.27,11.45,7.65,22.45,30.23,9.53,-17.04,19.02,18.36,9.30,27.32,11.11,-0.40,15.16
Mediolanum BB US Collection S H,IE00B02YQ901,EAA Fund Other Equity,Renta Variable Norte América,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,Sí,Sí,Sí,Sí,3/18/2005,4,4,," 776,570,301.00 € ",-7.02,-7.88,-7.20,10.39,-7.88,n.d.,6.10,11.36,10.17,12.01,4.07,14.58,6.45,14.69,24.93,8.30,9.81,7.53,0.35,15.02,1.66,12.97,14.92,4.33,-12.94,16.56,21.42,12.41,13.59,24.88,19.90,10.33,-24.66,20.65,19.43,14.17,17.49,10.05,9.22,10.71
Mediolanum BB US Coupon Strgy Collct LA,IE00BYVXSB26,EAA Fund USD Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/1/2016,3,4,2," 271,233,712.00 € ",-2.56,-2.41,-0.77,6.13,-2.41,n.d.,-0.16,8.98,4.84,8.40,2.64,8.99,3.49,8.40,,,,,,,,,-5.19,6.40,-2.16,7.57,14.49,5.73,-1.33,11.68,16.67,5.08,-11.90,12.63,6.75,5.76,16.71,6.74,-4.12,10.98
Mediolanum BB US Coupon Strgy Collct LB,IE00BYVXSC33,EAA Fund USD Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/4/2016,3,4,2," 271,233,712.00 € ",-2.58,-2.42,-0.78,6.17,-2.42,n.d.,-0.17,8.99,4.87,8.39,2.69,8.99,3.50,8.40,,,,,,,,,-5.21,6.42,-2.15,7.56,14.49,5.72,-1.32,11.69,16.75,5.10,-11.88,12.60,6.73,5.76,16.83,6.66,-4.12,10.98
Mediolanum BB US Coupon Strgy Collct LHA,IE00BYVXSD40,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/1/2016,3,4,2," 271,233,712.00 € ",-4.91,-4.60,-3.69,7.36,-4.60,n.d.,3.33,6.64,4.95,7.73,0.33,9.26,1.71,8.33,,,,,,,,,4.38,2.37,-8.98,6.57,9.53,4.52,4.31,13.84,8.29,4.21,-19.38,13.58,8.10,10.04,8.69,6.59,5.67,5.43
Mediolanum BB US Coupon Strgy Collct LHB,IE00BYVXSF63,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/9/2016,3,4,2," 271,233,712.00 € ",-4.91,-4.53,-3.51,7.40,-4.53,n.d.,4.17,6.77,5.18,7.80,0.52,9.32,1.80,8.36,,,,,,,,,4.50,2.34,-8.96,6.56,9.43,4.53,4.38,13.84,8.42,4.48,-19.29,13.57,7.98,10.06,8.95,6.47,6.14,5.87
Mediolanum BB US Coupon Strgy Collct SA,IE00BYVXSG70,EAA Fund USD Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/8/2016,3,4,2," 271,233,712.00 € ",-2.60,-2.48,-0.94,6.14,-2.48,n.d.,-0.46,8.98,4.57,8.42,2.37,9.00,3.21,8.41,,,,,,,,,-5.49,6.42,-2.45,7.55,14.29,5.72,-1.63,11.68,16.48,5.14,-12.16,12.61,6.42,5.75,16.51,6.77,-4.41,10.98
Mediolanum BB US Coupon Strgy Collct SB,IE00BYVXSH87,EAA Fund USD Flexible Allocation,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/8/2016,3,4,2," 271,233,712.00 € ",-2.59,-2.48,-0.93,6.12,-2.48,n.d.,-0.46,8.98,4.61,8.42,2.40,9.00,3.24,8.41,,,,,,,,,-5.49,6.42,-2.45,7.57,14.39,5.72,-1.61,11.68,16.53,5.15,-12.15,12.60,6.43,5.74,16.63,6.77,-4.40,10.98
Mediolanum BB US Coupon Strgy Collct SHA,IE00BYVXSJ02,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,No ,Sí,Sí,3/8/2016,3,4,2," 271,233,712.00 € ",-4.55,-4.19,-3.66,6.82,-4.19,n.d.,3.85,6.51,4.92,7.72,0.19,9.26,1.52,8.34,,,,,,,,,4.11,2.36,-9.29,6.57,9.27,4.49,4.07,13.86,8.00,4.26,-19.60,13.58,7.77,10.06,8.63,6.44,5.38,5.89
Mediolanum BB US Coupon Strgy Collct SHB,IE00BYVXSK17,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,No,No ,Sí,Sí,3/7/2016,3,4,2," 271,233,712.00 € ",-4.93,-4.62,-3.63,7.43,-4.62,n.d.,3.86,6.77,4.87,7.80,0.22,9.30,1.52,8.35,,,,,,,,,4.28,2.33,-9.28,6.57,9.31,4.52,4.13,13.85,8.16,4.23,-19.52,13.58,7.65,10.06,8.60,6.45,5.85,5.87
Mediolanum Ch Emerg Mark Equity L A,IE0004878744,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,3/13/1998,4,4,," 791,121,102.00 € ",-11.19,-0.08,4.09,24.05,-0.08,n.d.,16.48,18.24,8.69,12.91,1.00,13.74,3.96,13.55,-8.88,8.97,6.89,9.86,-7.87,17.96,7.68,11.64,15.87,7.23,-13.87,11.63,16.77,12.19,3.32,22.88,0.91,8.72,-15.46,17.78,4.69,13.14,11.53,8.01,13.61,11.70
